age,child_number,family_size,income,living_minimum,study_certificate,isEgisso,service_108,service_116
7,3,5,92187,15428,0,1,0,0
2,1,3,94731,15428,0,0,0,0
15,2,3,15112,15428,0,1,0,0
2,1,3,11190,15428,0,0,1,0
17,1,3,60884,15428,0,0,0,0
13,3,5,87255,15428,0,0,0,0
17,4,5,59769,15428,0,1,0,0
1,3,5,63151,15428,0,1,0,1
2,2,3,89858,15428,0,1,0,0
15,1,3,88101,15428,0,0,0,0
8,4,5,78055,15428,0,0,1,0
3,1,4,14186,15428,0,0,1,0
0,3,4,46017,15428,0,0,1,1
3,2,3,37024,15428,0,0,1,0
0,1,3,48316,15428,0,1,0,0
13,1,2,37322,15428,0,1,0,0
15,3,5,60335,15428,0,0,1,0
7,1,5,87417,15428,0,1,0,0
6,2,3,19333,15428,0,1,0,0
2,1,5,75509,15428,0,0,1,0
16,2,3,41535,15428,1,1,0,0
0,2,3,82465,15428,0,1,0,0
15,1,2,54907,15428,0,1,0,0
11,2,4,84643,15428,0,1,0,0
18,2,3,64857,15428,0,1,0,0
13,1,2,74906,15428,0,0,0,0
5,1,3,47307,15428,0,1,0,0
5,1,2,47607,15428,0,0,0,0
12,3,4,38526,15428,0,1,0,0
18,1,2,62001,15428,0,0,0,0
7,4,5,12035,15428,0,0,1,0
1,1,2,63925,15428,0,1,0,0
0,2,3,62624,15428,0,0,0,0
14,2,3,33600,15428,0,0,1,0
0,1,4,74086,15428,0,0,0,0
4,1,2,11654,15428,0,0,1,0
15,2,3,66262,15428,0,0,0,0
18,1,2,45954,15428,1,1,0,0
3,3,4,13845,15428,0,0,1,0
2,2,3,75769,15428,0,0,0,0
16,3,4,51399,15428,1,0,1,0
16,1,2,52775,15428,1,1,0,0
11,1,3,89163,15428,0,1,0,0
13,1,4,77399,15428,0,1,0,0
5,2,5,93065,15428,0,0,0,0
2,1,2,59654,15428,0,1,0,0
8,2,3,82692,15428,0,1,0,0
4,1,3,80261,15428,0,0,0,0
16,1,4,85201,15428,0,0,0,0
13,4,5,91301,15428,0,1,0,0
2,1,2,12354,15428,0,0,1,0
0,2,4,24898,15428,0,1,0,0
0,2,3,65139,15428,0,1,0,0
2,3,4,70372,15428,0,1,0,1
17,1,2,81975,15428,1,1,0,0
9,2,4,74838,15428,0,0,0,0
2,1,4,12886,15428,0,1,0,0
7,1,2,40211,15428,0,1,0,0
13,2,3,67240,15428,0,0,0,0
17,2,5,18250,15428,1,0,1,0
14,1,4,42325,15428,0,0,1,0
1,1,2,96783,15428,0,1,0,0
9,3,5,65121,15428,0,0,1,0
1,4,5,21982,15428,0,1,0,1
16,1,2,13412,15428,1,1,0,0
7,2,4,28302,15428,0,1,0,0
0,3,5,81222,15428,0,1,0,1
8,2,3,72699,15428,0,1,0,0
10,1,5,63783,15428,0,1,0,0
15,1,3,30093,15428,0,0,1,0
6,2,3,67001,15428,0,1,0,0
9,2,3,85394,15428,0,0,0,0
2,1,2,57742,15428,0,1,0,0
17,1,2,68152,15428,0,1,0,0
12,3,5,32037,15428,0,1,0,0
6,1,5,93481,15428,0,0,0,0
3,3,5,85259,15428,0,0,0,0
12,3,4,10771,15428,0,0,1,0
0,1,4,49797,15428,0,0,1,0
7,1,5,13774,15428,0,1,0,0
13,1,2,27146,15428,0,1,0,0
15,1,2,27808,15428,0,0,1,0
13,3,5,46595,15428,0,0,1,0
11,1,2,48990,15428,0,0,0,0
18,1,2,54806,15428,0,1,0,0
14,3,5,46417,15428,0,1,0,0
1,1,5,31814,15428,0,1,0,0
1,1,3,60429,15428,0,0,0,0
18,1,5,21623,15428,1,1,0,0
16,1,2,48391,15428,0,0,0,0
9,1,2,92134,15428,0,0,0,0
5,3,4,21719,15428,0,1,0,0
14,2,5,67472,15428,0,0,1,0
10,4,5,32023,15428,0,1,0,0
4,2,3,12104,15428,0,1,0,0
0,2,3,72548,15428,0,1,0,0
7,2,4,60481,15428,0,1,0,0
11,1,3,46841,15428,0,0,1,0
11,2,4,15430,15428,0,0,1,0
4,1,5,89859,15428,0,0,0,0
6,2,4,16681,15428,0,1,0,0
3,3,5,85742,15428,0,1,0,0
5,2,3,36292,15428,0,0,1,0
12,1,4,80237,15428,0,0,0,0
14,2,3,71859,15428,0,0,0,0
2,1,3,19876,15428,0,0,1,0
7,1,2,46252,15428,0,0,0,0
15,3,4,23491,15428,0,0,1,0
12,1,2,97718,15428,0,1,0,0
17,2,3,18276,15428,0,0,0,0
9,3,4,90511,15428,0,1,0,0
18,1,2,59053,15428,1,0,0,0
16,3,4,61526,15428,0,1,0,0
18,2,3,53298,15428,1,0,0,0
4,1,2,96952,15428,0,0,0,0
8,2,3,86724,15428,0,0,0,0
11,1,2,73612,15428,0,0,0,0
0,1,2,62860,15428,0,1,0,0
0,1,2,41485,15428,0,0,0,0
14,2,3,59196,15428,0,1,0,0
1,1,5,35690,15428,0,0,1,0
15,3,4,49840,15428,0,0,1,0
7,3,5,68829,15428,0,1,0,0
12,2,4,46730,15428,0,1,0,0
0,3,4,21626,15428,0,0,1,1
15,3,4,43981,15428,0,1,0,0
6,3,5,22693,15428,0,1,0,0
4,3,5,55874,15428,0,1,0,0
2,2,4,94804,15428,0,1,0,0
11,4,5,70756,15428,0,1,0,0
15,2,5,58182,15428,0,1,0,0
18,2,3,63361,15428,0,0,0,0
4,2,3,62533,15428,0,1,0,0
13,2,4,87338,15428,0,0,0,0
4,1,2,18526,15428,0,0,1,0
14,2,3,87371,15428,0,0,0,0
16,2,4,16452,15428,0,1,0,0
13,1,3,48288,15428,0,0,1,0
4,1,2,33261,15428,0,0,1,0
11,2,3,99891,15428,0,0,0,0
15,4,5,62033,15428,0,0,1,0
15,1,3,94737,15428,0,0,0,0
6,4,5,75888,15428,0,0,1,0
3,4,5,54656,15428,0,0,1,0
0,2,4,35609,15428,0,1,0,0
4,1,2,31444,15428,0,0,1,0
9,2,4,76105,15428,0,0,0,0
4,1,3,90336,15428,0,1,0,0
3,3,4,23042,15428,0,0,1,0
1,3,4,82913,15428,0,0,0,1
9,4,5,78667,15428,0,0,1,0
18,2,4,18520,15428,0,1,0,0
0,2,4,41743,15428,0,0,1,0
4,2,3,56879,15428,0,1,0,0
12,2,3,88993,15428,0,1,0,0
3,2,4,48401,15428,0,0,1,0
15,2,3,11679,15428,0,1,0,0
15,1,2,57538,15428,0,0,0,0
1,2,5,40547,15428,0,1,0,0
16,1,3,79303,15428,0,1,0,0
11,1,4,81150,15428,0,0,0,0
17,3,5,42317,15428,0,1,0,0
2,1,4,22775,15428,0,1,0,0
0,1,3,92246,15428,0,0,0,0
0,1,2,86760,15428,0,1,0,0
18,3,5,70618,15428,0,0,0,0
10,1,2,20259,15428,0,0,1,0
4,2,5,51023,15428,0,0,1,0
11,2,3,49235,15428,0,1,0,0
2,3,5,30940,15428,0,0,1,1
0,1,5,22208,15428,0,0,1,0
0,1,2,17765,15428,0,1,0,0
7,1,3,38953,15428,0,1,0,0
9,3,4,80385,15428,0,1,0,0
10,2,3,27843,15428,0,0,1,0
11,1,2,77132,15428,0,1,0,0
12,1,5,38414,15428,0,1,0,0
11,1,2,56075,15428,0,1,0,0
13,3,5,86804,15428,0,1,0,0
1,1,2,41901,15428,0,0,0,0
18,1,2,27667,15428,1,0,1,0
17,1,3,15790,15428,1,1,0,0
2,1,3,34344,15428,0,1,0,0
16,1,5,14720,15428,1,0,1,0
7,2,3,60459,15428,0,1,0,0
9,2,5,94591,15428,0,0,0,0
1,2,3,94418,15428,0,1,0,0
18,2,4,72796,15428,0,1,0,0
8,4,5,63000,15428,0,1,0,0
6,3,4,78161,15428,0,1,0,0
3,1,3,15423,15428,0,0,1,0
17,1,4,42928,15428,1,1,0,0
12,1,3,26795,15428,0,1,0,0
10,1,2,47255,15428,0,0,0,0
3,3,5,51379,15428,0,0,1,0
3,1,2,70538,15428,0,1,0,0
9,2,4,43153,15428,0,1,0,0
4,2,3,81447,15428,0,1,0,0
8,1,3,36005,15428,0,0,1,0
2,1,5,69726,15428,0,1,0,0
16,2,3,39949,15428,1,0,1,0
2,1,3,99540,15428,0,0,0,0
15,2,3,93028,15428,0,1,0,0
3,1,4,94688,15428,0,1,0,0
17,3,5,91954,15428,0,1,0,0
16,1,3,24774,15428,0,1,0,0
6,1,2,67241,15428,0,1,0,0
4,3,4,81981,15428,0,0,0,0
11,1,5,55208,15428,0,1,0,0
16,1,2,57316,15428,1,1,0,0
12,1,2,35335,15428,0,0,0,0
2,1,2,56730,15428,0,0,0,0
8,2,5,53799,15428,0,1,0,0
16,3,5,36952,15428,1,0,1,0
16,3,4,61073,15428,1,0,1,0
15,1,5,46869,15428,0,0,1,0
12,1,2,61714,15428,0,1,0,0
18,3,5,67476,15428,1,0,1,0
16,2,3,80959,15428,1,1,0,0
3,1,3,87366,15428,0,0,0,0
11,1,2,27116,15428,0,0,1,0
8,1,3,18611,15428,0,0,1,0
18,1,4,22067,15428,0,0,0,0
11,1,4,92812,15428,0,0,0,0
8,1,2,31431,15428,0,0,1,0
6,1,5,76427,15428,0,0,1,0
13,3,5,38578,15428,0,0,1,0
18,1,3,60510,15428,0,1,0,0
14,1,2,95307,15428,0,1,0,0
15,3,4,28506,15428,0,0,1,0
4,2,4,95765,15428,0,0,0,0
2,3,4,63402,15428,0,0,1,1
11,2,3,92601,15428,0,1,0,0
3,3,4,83693,15428,0,0,0,0
15,1,5,13808,15428,0,0,1,0
6,1,2,89909,15428,0,0,0,0
12,2,5,41158,15428,0,1,0,0
9,2,5,92962,15428,0,1,0,0
6,2,3,76548,15428,0,1,0,0
13,1,4,49788,15428,0,0,1,0
4,2,5,39909,15428,0,1,0,0
2,1,2,22134,15428,0,1,0,0
10,3,5,92060,15428,0,1,0,0
10,3,4,15699,15428,0,1,0,0
17,2,5,54637,15428,1,1,0,0
14,1,2,95720,15428,0,0,0,0
11,1,2,72908,15428,0,0,0,0
8,1,2,16158,15428,0,0,1,0
9,1,2,14235,15428,0,0,1,0
11,1,5,12580,15428,0,1,0,0
16,3,4,99937,15428,1,1,0,0
5,2,3,72232,15428,0,0,0,0
6,1,5,86026,15428,0,0,0,0
13,1,2,34267,15428,0,1,0,0
12,1,2,91948,15428,0,1,0,0
7,1,2,86733,15428,0,1,0,0
9,2,4,25017,15428,0,0,1,0
8,3,5,58405,15428,0,0,1,0
17,1,4,11511,15428,1,0,1,0
1,1,5,25966,15428,0,1,0,0
4,1,2,56318,15428,0,1,0,0
4,1,2,44966,15428,0,0,0,0
5,1,3,31044,15428,0,0,1,0
18,1,4,70404,15428,1,1,0,0
7,1,2,11005,15428,0,1,0,0
15,1,4,74369,15428,0,1,0,0
12,3,4,53390,15428,0,1,0,0
0,1,2,30007,15428,0,0,1,0
16,1,2,55174,15428,0,1,0,0
6,2,3,60016,15428,0,0,0,0
12,1,3,52757,15428,0,0,0,0
3,3,4,24089,15428,0,0,1,0
3,1,2,36438,15428,0,0,0,0
5,3,5,59549,15428,0,0,1,0
18,1,4,20869,15428,0,0,0,0
11,2,3,86165,15428,0,0,0,0
6,2,4,39497,15428,0,1,0,0
9,2,5,77187,15428,0,1,0,0
18,1,2,28286,15428,0,0,0,0
6,3,4,45291,15428,0,0,1,0
2,1,2,92794,15428,0,1,0,0
12,1,3,84752,15428,0,0,0,0
12,2,3,39368,15428,0,0,1,0
17,1,2,87136,15428,0,1,0,0
7,4,5,46026,15428,0,1,0,0
8,1,5,18089,15428,0,1,0,0
6,2,5,28612,15428,0,1,0,0
0,1,2,42913,15428,0,0,0,0
2,4,5,78631,15428,0,1,0,1
12,4,5,31777,15428,0,0,1,0
16,1,2,69558,15428,0,1,0,0
0,3,4,25566,15428,0,1,0,1
5,1,3,41651,15428,0,0,1,0
5,1,3,28521,15428,0,0,1,0
11,1,2,61103,15428,0,0,0,0
12,3,4,93667,15428,0,0,0,0
12,1,2,85845,15428,0,1,0,0
14,3,5,95082,15428,0,1,0,0
15,2,3,25486,15428,0,1,0,0
10,1,3,33623,15428,0,0,1,0
4,2,5,89908,15428,0,0,0,0
3,1,2,64214,15428,0,1,0,0
2,1,2,63192,15428,0,0,0,0
18,1,3,34225,15428,1,1,0,0
17,1,2,85163,15428,1,0,0,0
14,1,2,87246,15428,0,1,0,0
8,1,2,11565,15428,0,1,0,0
16,1,4,40949,15428,0,0,0,0
13,1,5,60553,15428,0,0,1,0
14,1,2,25623,15428,0,1,0,0
0,2,5,91159,15428,0,0,0,0
2,3,5,80664,15428,0,1,0,1
15,1,3,25594,15428,0,0,1,0
10,1,3,37528,15428,0,0,1,0
11,4,5,84815,15428,0,1,0,0
9,1,2,87570,15428,0,0,0,0
15,1,2,15624,15428,0,0,1,0
7,1,2,63242,15428,0,1,0,0
5,1,2,71797,15428,0,0,0,0
11,4,5,55594,15428,0,1,0,0
7,2,3,56205,15428,0,0,0,0
3,4,5,78082,15428,0,0,1,0
7,1,3,69977,15428,0,0,0,0
17,4,5,54097,15428,1,1,0,0
4,1,3,45444,15428,0,0,1,0
8,2,3,77642,15428,0,1,0,0
3,2,5,37303,15428,0,1,0,0
16,3,5,24103,15428,0,0,0,0
8,2,4,31416,15428,0,1,0,0
0,2,4,67652,15428,0,0,1,0
12,1,2,89664,15428,0,1,0,0
15,2,4,17740,15428,0,1,0,0
12,4,5,13048,15428,0,1,0,0
13,1,3,17231,15428,0,0,1,0
2,1,4,57009,15428,0,0,1,0
5,1,2,36906,15428,0,0,0,0
17,3,4,40783,15428,0,0,0,0
18,2,3,12414,15428,1,0,1,0
4,1,4,23115,15428,0,1,0,0
14,2,4,25412,15428,0,0,1,0
1,1,2,63447,15428,0,0,0,0
9,1,4,52361,15428,0,1,0,0
17,1,2,49679,15428,1,1,0,0
12,1,5,20380,15428,0,0,1,0
4,3,5,36059,15428,0,1,0,0
0,1,5,16732,15428,0,0,1,0
0,1,3,25668,15428,0,1,0,0
17,2,5,86816,15428,0,0,0,0
14,1,2,11208,15428,0,0,1,0
16,1,3,63134,15428,1,1,0,0
10,2,4,12125,15428,0,0,1,0
16,1,2,54918,15428,1,1,0,0
12,1,4,26786,15428,0,1,0,0
0,1,2,77364,15428,0,0,0,0
1,2,3,25766,15428,0,1,0,0
8,1,2,67494,15428,0,1,0,0
2,1,3,75994,15428,0,0,0,0
0,1,3,28989,15428,0,1,0,0
15,1,5,68067,15428,0,0,1,0
5,2,4,12182,15428,0,1,0,0
16,1,3,60774,15428,0,1,0,0
4,1,2,43174,15428,0,1,0,0
4,3,4,55658,15428,0,1,0,0
5,2,5,44964,15428,0,0,1,0
2,1,5,86089,15428,0,0,0,0
4,1,2,18159,15428,0,0,1,0
4,1,4,76481,15428,0,1,0,0
9,3,4,12715,15428,0,1,0,0
9,1,3,17268,15428,0,1,0,0
18,1,4,50001,15428,1,0,1,0
16,1,2,24705,15428,1,1,0,0
13,1,2,82200,15428,0,0,0,0
8,2,3,67829,15428,0,0,0,0
13,2,4,22867,15428,0,1,0,0
0,2,4,71309,15428,0,1,0,0
18,1,2,76005,15428,0,0,0,0
12,2,4,75302,15428,0,1,0,0
12,3,5,80021,15428,0,1,0,0
3,1,3,59619,15428,0,1,0,0
0,1,2,16027,15428,0,1,0,0
16,3,5,79440,15428,1,1,0,0
7,1,2,75190,15428,0,1,0,0
1,1,5,54840,15428,0,1,0,0
7,1,2,21778,15428,0,0,1,0
6,1,2,83853,15428,0,0,0,0
1,1,5,22919,15428,0,1,0,0
2,1,2,99793,15428,0,0,0,0
17,1,3,24431,15428,0,1,0,0
11,2,4,34860,15428,0,0,1,0
0,3,5,15294,15428,0,0,1,1
11,1,4,51184,15428,0,0,1,0
4,1,3,53929,15428,0,1,0,0
16,1,4,14348,15428,1,0,1,0
15,1,2,26014,15428,0,1,0,0
14,2,4,39657,15428,0,0,1,0
14,2,5,52184,15428,0,1,0,0
4,1,3,61004,15428,0,1,0,0
13,2,3,91364,15428,0,1,0,0
1,1,2,64576,15428,0,1,0,0
10,1,4,53290,15428,0,0,1,0
18,2,3,14800,15428,0,0,0,0
6,1,2,35979,15428,0,0,0,0
5,2,3,79561,15428,0,1,0,0
1,1,5,18498,15428,0,1,0,0
5,1,2,46773,15428,0,1,0,0
17,3,4,83080,15428,0,1,0,0
1,4,5,12706,15428,0,1,0,1
17,3,4,72123,15428,0,1,0,0
14,3,4,11405,15428,0,0,1,0
18,1,2,35421,15428,1,0,0,0
1,1,2,54248,15428,0,0,0,0
5,2,5,98139,15428,0,0,0,0
0,2,4,34492,15428,0,1,0,0
14,1,5,72086,15428,0,1,0,0
9,1,2,28685,15428,0,1,0,0
18,2,3,13389,15428,1,0,1,0
16,4,5,11280,15428,0,0,0,0
4,1,2,74014,15428,0,1,0,0
3,2,5,60091,15428,0,0,1,0
9,2,4,16016,15428,0,1,0,0
16,4,5,66965,15428,1,0,1,0
9,3,4,67877,15428,0,0,1,0
16,1,3,52092,15428,1,1,0,0
4,2,3,75307,15428,0,0,0,0
1,1,4,79453,15428,0,0,0,0
5,3,4,33550,15428,0,1,0,0
1,3,4,49149,15428,0,0,1,1
12,1,2,10388,15428,0,1,0,0
10,1,4,65659,15428,0,1,0,0
10,1,3,97458,15428,0,0,0,0
15,1,4,24986,15428,0,0,1,0
10,1,2,62079,15428,0,0,0,0
18,1,4,53477,15428,0,1,0,0
14,3,4,75566,15428,0,0,0,0
15,1,2,69778,15428,0,0,0,0
10,1,5,19488,15428,0,1,0,0
15,2,3,13601,15428,0,1,0,0
7,1,2,30558,15428,0,0,1,0
3,1,2,19468,15428,0,0,1,0
7,1,5,38534,15428,0,0,1,0
3,3,4,21892,15428,0,0,1,0
2,1,2,39157,15428,0,0,0,0
2,1,2,44639,15428,0,1,0,0
17,4,5,96621,15428,0,1,0,0
18,1,3,65027,15428,1,0,0,0
18,2,4,17409,15428,1,0,1,0
4,4,5,29229,15428,0,0,1,0
17,1,2,67245,15428,1,1,0,0
9,1,3,56331,15428,0,0,0,0
5,2,4,98132,15428,0,1,0,0
0,2,5,93136,15428,0,1,0,0
4,1,2,14611,15428,0,1,0,0
8,1,2,77724,15428,0,0,0,0
11,1,2,10777,15428,0,1,0,0
13,1,2,33540,15428,0,0,1,0
1,2,4,62497,15428,0,0,1,0
16,1,4,97638,15428,1,1,0,0
13,4,5,55672,15428,0,1,0,0
12,1,4,57785,15428,0,1,0,0
8,4,5,72269,15428,0,1,0,0
14,2,5,90730,15428,0,0,0,0
14,2,4,23134,15428,0,0,1,0
10,1,4,52647,15428,0,1,0,0
15,2,3,99373,15428,0,1,0,0
16,2,4,32976,15428,1,1,0,0
3,2,4,73016,15428,0,0,0,0
0,1,2,43532,15428,0,1,0,0
7,2,5,17234,15428,0,1,0,0
16,3,5,23798,15428,0,0,0,0
