age,child_number,family_size,income_childEveryMonthPosob_Oro,income_edvThirdChild,study_certificate,service_108,service_116
2,1,3,46828.44,105320.62,0,1,0
17,1,3,63355.11,69818.45,1,0,0
7,2,4,80483.99,153358.29,0,0,0
17,1,4,78307.05,100529.42,0,0,0
6,1,3,115715.02,58398.61,0,0,0
9,1,3,47570.41,91314.07,0,1,0
2,1,2,21834.47,81215.25,0,1,0
16,2,4,80986.95,235181.18,1,0,0
8,2,3,39650.39,113498.54,0,1,0
13,1,3,51555.62,77992.00,0,0,0
8,2,4,123763.63,106364.79,0,0,0
9,1,3,79275.54,72101.62,0,0,0
8,4,6,183584.64,173612.00,0,0,0
17,1,3,34398.50,199591.87,1,1,0
16,2,5,102796.84,227118.66,1,0,0
15,1,2,23271.80,57104.27,0,1,0
16,3,9,122813.86,259944.25,1,1,0
15,1,3,38803.22,91629.24,0,1,0
11,2,5,65221.79,252920.65,0,1,0
1,1,3,27249.48,131575.71,0,1,0
14,1,4,67263.09,186764.06,0,1,0
6,1,2,46531.60,100507.78,0,0,0
1,2,4,72285.18,263753.30,0,0,0
7,3,5,33964.46,163050.59,0,1,0
15,1,2,56858.39,46403.49,0,0,0
12,1,4,73106.08,43368.55,0,0,0
16,1,4,36330.25,89712.20,1,1,0
9,1,5,120645.92,161132.02,0,0,0
1,1,2,25566.35,54508.11,0,1,0
7,1,3,83189.70,92571.56,0,0,0
16,4,5,102940.73,309742.39,0,0,0
17,1,4,28710.08,70432.49,0,0,0
16,1,3,47003.56,187509.10,1,1,0
16,4,5,75370.16,160485.61,0,0,0
4,3,7,115240.34,284812.61,0,1,0
2,4,5,92880.36,205594.97,0,0,0
10,2,5,55065.07,194025.33,0,1,0
2,1,7,96014.39,219492.41,0,1,0
12,2,5,78289.76,230100.43,0,1,0
16,2,3,31986.24,90728.16,1,1,0
7,1,2,39821.91,88368.05,0,0,0
0,1,6,107428.28,150133.50,0,0,0
6,2,5,83386.54,100780.96,0,1,0
4,2,5,93341.17,323467.66,0,0,0
3,1,3,35202.63,90059.06,0,1,0
17,1,2,24786.06,62426.80,0,0,0
3,1,2,20642.36,80520.29,0,1,0
13,4,6,144440.54,53445.94,0,0,0
9,1,2,83519.58,63158.86,0,0,0
8,2,5,110024.75,113556.35,0,0,0
6,2,4,76666.47,113275.89,0,0,0
16,4,6,112846.26,143336.10,0,0,0
7,1,3,81518.39,55717.82,0,0,0
0,1,4,97694.49,138655.51,0,0,0
0,3,5,78441.88,141808.45,0,1,1
13,4,6,74833.80,122220.66,0,1,0
16,2,6,108220.76,388229.71,0,0,0
15,1,4,32818.46,139215.23,0,1,0
11,1,4,61191.94,240960.24,0,1,0
2,3,5,44798.43,143001.34,0,1,1
1,1,3,57025.95,44649.84,0,0,0
15,2,3,119232.56,121739.09,0,0,0
11,4,5,107301.27,241859.89,0,0,0
13,1,3,33084.72,123809.29,0,1,0
8,1,3,44211.72,51283.57,0,1,0
13,1,2,49769.62,22738.78,0,0,0
2,2,4,82968.86,138448.41,0,0,0
17,2,4,164734.80,78704.78,0,0,0
4,1,3,48142.45,92509.32,0,1,0
8,2,5,105537.40,208641.60,0,0,0
13,1,3,48598.84,109443.67,0,1,0
11,4,6,127864.43,255009.93,0,0,0
6,1,4,76100.56,109478.02,0,0,0
15,1,3,134273.09,71842.33,0,0,0
16,1,4,50153.56,124798.12,0,0,0
7,1,3,45240.46,264769.89,0,1,0
9,1,3,34202.02,75434.94,0,1,0
13,2,5,87940.74,281788.02,0,0,0
10,2,5,52977.09,232557.35,0,1,0
6,1,4,97752.60,145668.72,0,0,0
4,1,4,50857.61,92342.79,0,1,0
1,1,5,77775.91,182964.24,0,1,0
11,1,2,50315.70,53027.65,0,0,0
16,2,7,76069.11,158368.93,0,0,0
16,1,4,60109.12,156537.71,1,1,0
10,1,5,61978.30,103373.10,0,1,0
12,1,5,78087.08,170665.17,0,1,0
4,2,5,99964.44,132388.16,0,0,0
10,1,3,51133.45,55073.06,0,0,0
11,1,2,30179.02,61466.58,0,1,0
3,1,3,96775.61,138798.40,0,0,0
15,1,6,117164.97,107956.73,0,0,0
4,4,6,121231.09,143053.34,0,0,0
9,1,3,19609.87,135691.96,0,1,0
10,1,4,87771.52,91110.58,0,0,0
1,1,4,83523.04,124194.61,0,0,0
17,2,4,55098.85,152996.30,1,1,0
0,1,4,108260.35,102962.20,0,0,0
1,3,5,60155.37,248955.34,0,1,0
9,1,4,129866.07,245874.51,0,0,0
0,1,4,96480.19,82626.16,0,0,0
4,1,3,29796.90,152394.19,0,1,0
13,1,2,40280.62,80167.40,0,0,0
8,1,2,19008.00,77322.83,0,1,0
2,1,4,100344.78,71875.23,0,0,0
17,1,3,66614.09,67514.06,1,0,0
11,1,2,26916.45,68234.71,0,1,0
7,1,3,64990.22,73040.09,0,0,0
0,2,4,153909.95,178054.98,0,0,0
2,2,5,101596.18,120855.68,0,0,0
16,4,7,181088.71,111634.30,1,0,0
7,1,2,20992.93,53026.50,0,1,0
14,1,3,45228.65,61894.10,0,1,0
10,2,3,75303.23,57518.93,0,0,0
13,1,2,65057.93,75649.62,0,0,0
11,1,8,137923.94,250270.20,0,0,0
13,1,3,33591.02,174374.26,0,1,0
4,1,4,27087.71,118369.87,0,1,0
16,2,6,96667.19,210909.73,0,0,0
7,1,4,77977.56,63110.73,0,0,0
16,2,4,59114.88,97211.14,0,0,0
12,1,4,108383.71,110334.32,0,0,0
10,3,5,89504.18,206301.08,0,0,0
2,1,3,23908.27,40142.38,0,1,0
10,1,3,48227.46,111084.85,0,1,0
14,2,5,95659.78,98432.10,0,0,0
5,1,2,38771.21,48362.67,0,0,0
0,1,2,28956.88,104156.93,0,1,0
11,1,5,115499.05,230653.21,0,0,0
12,5,10,118937.49,622153.74,0,1,0
16,3,5,77570.27,201776.82,0,0,0
0,1,3,93146.03,64434.17,0,0,0
17,1,2,24294.29,96254.01,0,0,0
17,1,4,83732.44,149276.27,1,0,0
9,3,5,83484.48,120942.86,0,1,0
10,1,2,20841.05,84313.45,0,1,0
15,1,4,45172.36,151430.38,0,1,0
1,1,3,51488.88,86468.69,0,0,0
12,3,7,114969.33,160898.45,0,1,0
14,3,4,86102.10,119219.54,0,0,0
13,2,4,67923.94,81052.84,0,0,0
9,2,5,76334.79,166567.66,0,1,0
17,2,4,79093.83,129369.10,1,0,0
8,1,4,67284.64,107988.27,0,1,0
11,1,2,30154.97,70447.75,0,1,0
3,1,4,107315.83,275334.45,0,0,0
5,1,3,79497.75,133754.11,0,0,0
7,4,6,178434.01,226735.64,0,0,0
3,1,4,81574.35,108043.23,0,0,0
17,1,3,48476.16,99702.84,1,1,0
1,5,8,123607.57,177276.43,0,1,1
15,1,3,50512.65,85339.06,0,1,0
17,1,3,33710.91,162971.08,1,1,0
16,1,4,48235.30,144817.91,1,1,0
14,1,2,37682.48,39508.78,0,0,0
7,1,3,56962.74,108460.01,0,0,0
1,1,6,98402.78,180586.35,0,1,0
11,3,7,94064.74,613387.18,0,1,0
17,1,2,33039.93,74094.04,1,1,0
11,1,3,44396.42,61769.66,0,1,0
4,2,4,66830.31,95906.30,0,1,0
7,1,3,69841.71,84481.41,0,0,0
0,1,4,70208.19,57686.70,0,0,0
6,1,2,42395.93,88662.57,0,0,0
10,3,5,82212.99,220871.07,0,1,0
11,2,6,138418.16,255373.01,0,0,0
9,3,6,103087.18,148236.43,0,0,0
2,1,3,27379.40,78860.59,0,1,0
0,4,6,107893.00,148715.80,0,0,1
5,1,3,44140.05,90465.93,0,1,0
7,4,5,76974.43,190920.46,0,1,0
7,1,2,50648.65,78969.55,0,0,0
6,1,5,82970.43,94538.00,0,1,0
8,3,6,71341.18,281499.12,0,1,0
4,1,3,53282.39,64331.93,0,0,0
1,1,3,31414.63,38114.29,0,1,0
3,2,5,74017.79,248289.84,0,1,0
9,1,2,50323.13,67323.47,0,0,0
0,1,4,114999.83,171523.11,0,0,0
16,2,4,41117.32,229824.71,1,1,0
4,2,4,61201.45,86865.78,0,1,0
4,2,4,58751.62,127523.95,0,1,0
4,1,3,54141.66,97192.56,0,0,0
13,2,4,69448.59,101969.75,0,0,0
5,1,4,66686.16,162399.36,0,1,0
8,2,3,46278.01,104107.22,0,1,0
13,1,3,22227.76,80611.38,0,1,0
9,1,6,199964.45,214123.63,0,0,0
15,1,2,14252.12,56611.28,0,1,0
1,1,4,74888.69,170324.93,0,0,0
3,3,6,176530.18,366811.39,0,0,0
2,1,6,119714.33,175708.63,0,0,0
11,2,4,70125.61,132404.77,0,0,0
9,4,6,54814.83,137805.87,0,1,0
4,1,4,65284.26,143821.02,0,1,0
16,1,3,60669.92,86910.40,1,0,0
6,1,4,46830.14,82538.36,0,1,0
1,2,4,85815.34,117294.19,0,0,0
3,1,3,59199.80,59760.76,0,0,0
9,1,3,88731.01,127026.22,0,0,0
15,2,4,46586.83,80726.98,0,1,0
12,2,4,65561.85,64138.80,0,1,0
11,2,8,303751.79,169602.52,0,0,0
7,1,2,48230.63,78434.09,0,0,0
14,1,2,80292.15,43782.60,0,0,0
7,1,4,90328.50,82016.09,0,0,0
14,1,3,45853.26,36620.43,0,1,0
7,2,5,84019.44,100420.35,0,1,0
8,2,6,34815.05,133727.80,0,1,0
5,2,3,47879.13,91505.72,0,1,0
13,1,5,78081.92,137237.14,0,1,0
6,1,2,63942.49,37450.26,0,0,0
2,1,3,54965.82,83309.62,0,0,0
12,2,3,34451.25,88464.92,0,1,0
16,1,4,100334.44,146461.05,0,0,0
16,2,4,91567.41,112010.67,0,0,0
7,1,4,62327.86,80415.83,0,1,0
14,1,4,101486.43,107441.12,0,0,0
2,1,4,66992.41,96905.67,0,1,0
16,1,3,115191.32,138301.93,1,0,0
15,1,2,36278.81,59946.08,0,0,0
5,1,4,66189.00,172487.66,0,1,0
5,2,4,60496.70,181880.18,0,1,0
16,1,3,37884.55,130691.29,0,0,0
11,1,4,68078.14,63464.05,0,0,0
11,1,5,198249.05,116255.21,0,0,0
13,1,5,83935.74,127423.70,0,1,0
15,1,2,18714.26,50932.76,0,1,0
9,1,5,54337.13,249412.47,0,1,0
13,1,2,19409.70,61224.04,0,1,0
17,1,3,56849.43,55750.26,1,0,0
11,2,4,69551.13,73201.80,0,0,0
12,1,2,23358.52,43267.22,0,1,0
0,3,5,130872.54,205142.16,0,0,0
3,2,4,34411.33,120145.30,0,1,0
1,1,3,57349.50,117141.41,0,0,0
15,1,3,80385.00,166132.58,0,0,0
4,1,4,72508.57,336821.34,0,0,0
16,1,3,33238.28,92360.64,1,1,0
15,2,6,109177.81,110366.60,0,0,0
4,3,4,74619.61,71296.63,0,0,0
13,4,6,189031.62,82915.83,0,0,0
3,3,5,43269.22,146589.41,0,1,0
2,1,3,27045.77,40706.60,0,1,0
4,1,4,71454.52,65699.30,0,0,0
17,1,2,30447.31,45541.90,1,1,0
14,5,6,158727.68,187485.40,0,0,0
2,6,8,139246.94,201538.67,0,0,1
16,2,5,88529.34,150806.87,0,0,0
0,1,4,37854.53,70989.28,0,1,0
7,1,3,32991.14,66385.68,0,1,0
11,1,3,40248.98,69890.93,0,1,0
13,1,4,65641.56,110831.87,0,1,0
11,3,6,107450.04,150722.41,0,0,0
4,1,3,42153.37,108883.74,0,1,0
9,3,4,107901.26,111697.44,0,0,0
5,1,2,24696.79,116118.00,0,1,0
16,2,4,55731.89,136615.16,0,0,0
16,1,3,64521.84,69721.99,1,0,0
9,2,3,22486.26,84883.13,0,1,0
15,4,5,78221.59,113831.31,0,1,0
14,2,4,49876.50,105031.28,0,1,0
12,1,2,21081.49,63043.06,0,1,0
1,1,4,80102.48,122697.37,0,0,0
14,1,3,21544.63,56637.84,0,1,0
11,2,5,82834.53,195501.00,0,1,0
4,2,3,45266.67,160491.86,0,1,0
0,1,5,102976.99,169244.16,0,0,0
10,2,5,92637.84,158630.15,0,0,0
1,2,4,63406.42,128008.82,0,1,0
16,1,4,126447.44,153430.50,1,0,0
14,1,3,30403.16,85849.09,0,1,0
12,2,3,31499.08,71512.35,0,1,0
13,1,4,36562.27,328715.32,0,1,0
9,1,3,43664.00,111722.58,0,1,0
10,3,5,73817.23,157590.34,0,1,0
11,1,3,56870.73,160754.57,0,0,0
17,1,2,32500.87,46902.86,0,0,0
0,1,5,60558.13,100054.40,0,1,0
4,1,4,54918.15,370272.00,0,1,0
17,1,3,68448.55,82773.04,1,0,0
9,4,6,173745.41,150832.32,0,0,0
16,2,6,169106.59,212148.86,0,0,0
0,1,2,56476.53,74338.11,0,0,0
4,1,3,34545.16,100453.65,0,1,0
2,2,6,133144.91,276587.77,0,0,0
12,4,6,92411.64,197872.89,0,1,0
5,1,3,77333.26,123500.42,0,0,0
8,2,3,61469.99,87680.57,0,0,0
7,2,4,57410.12,132042.09,0,1,0
17,1,3,43754.41,59179.14,0,0,0
2,1,3,82650.81,63778.88,0,0,0
2,2,5,126553.93,115897.57,0,0,0
8,2,4,79370.09,62198.22,0,0,0
0,1,3,63870.61,99207.96,0,0,0
0,2,4,87649.75,83115.01,0,0,0
3,2,4,175562.72,56904.68,0,0,0
14,2,4,71201.23,89658.84,0,0,0
5,3,4,101684.06,92034.76,0,0,0
5,1,5,73539.84,147884.39,0,1,0
9,2,5,79017.67,131432.89,0,1,0
2,2,4,109894.46,78411.95,0,0,0
1,2,5,126024.97,113679.18,0,0,0
9,1,2,16311.97,75539.65,0,1,0
12,4,6,72903.41,116672.49,0,1,0
8,2,4,93485.47,62948.07,0,0,0
7,4,6,77850.34,243762.32,0,1,0
4,2,5,54784.36,91001.00,0,1,0
10,1,3,51984.53,73137.08,0,0,0
12,1,2,36122.36,51366.22,0,0,0
11,1,3,33431.99,113420.79,0,1,0
8,1,3,71700.78,69940.65,0,0,0
4,3,5,173167.39,289126.67,0,0,0
4,4,6,274972.60,168294.95,0,0,0
17,1,6,97721.06,158150.87,1,1,0
9,1,3,60945.53,58035.81,0,0,0
16,1,3,45978.55,128106.19,1,1,0
2,3,5,61438.89,139093.84,0,1,1
6,1,3,62657.01,85842.03,0,0,0
5,1,2,26965.41,80859.85,0,1,0
1,3,5,84315.25,167464.77,0,1,0
14,1,4,51598.92,97281.14,0,1,0
1,3,5,112943.99,276676.44,0,0,0
10,1,3,41543.64,123587.93,0,1,0
0,1,3,63813.78,126849.53,0,0,0
10,1,7,114770.16,316489.68,0,1,0
17,2,4,84503.43,103885.85,1,0,0
6,5,7,101705.35,561924.91,0,1,0
0,2,5,117315.54,170952.43,0,0,0
1,4,8,121360.23,215112.53,0,1,1
2,1,3,55970.93,62926.80,0,0,0
6,2,6,55645.34,241452.93,0,1,0
8,2,4,125273.01,230384.25,0,0,0
14,2,4,88151.09,105105.39,0,0,0
17,1,2,60036.52,115990.36,1,0,0
1,1,3,57252.70,152884.20,0,0,0
15,2,6,46044.32,217426.49,0,1,0
9,1,2,39841.31,49919.41,0,0,0
2,2,4,59300.40,187657.81,0,1,0
3,1,4,78703.04,159876.52,0,0,0
7,1,2,52162.83,75740.25,0,0,0
0,1,3,59364.82,114809.60,0,0,0
2,1,2,19253.35,91220.79,0,1,0
11,1,4,81334.95,162626.06,0,0,0
8,1,5,83972.96,169473.47,0,1,0
5,3,4,104534.49,65350.82,0,0,0
8,1,4,26415.00,189493.15,0,1,0
10,4,6,99426.91,83564.21,0,1,0
14,4,6,80175.47,218111.68,0,1,0
3,1,2,33641.20,62070.41,0,1,0
7,1,2,40459.88,45301.88,0,0,0
13,1,4,39155.81,171354.47,0,1,0
12,3,5,147283.63,159543.55,0,0,0
6,1,4,27119.72,113841.58,0,1,0
12,1,2,21265.05,52337.85,0,1,0
11,2,3,48312.92,172084.06,0,1,0
7,1,4,89520.98,46768.70,0,0,0
13,1,8,78536.58,384223.96,0,1,0
14,1,3,38206.37,107597.88,0,1,0
14,3,6,79064.62,262738.19,0,1,0
4,1,4,78459.37,172722.82,0,0,0
6,1,6,48722.99,226128.32,0,1,0
12,4,8,77809.27,347782.91,0,1,0
7,1,3,118044.75,48541.50,0,0,0
11,1,4,85758.29,70977.36,0,0,0
13,1,2,26663.85,51700.82,0,1,0
0,2,3,65235.80,137347.10,0,0,0
4,1,5,125739.43,106983.87,0,0,0
16,1,4,86112.67,89855.03,1,0,0
17,1,6,97610.29,134664.49,1,1,0
9,1,3,63648.21,69940.56,0,0,0
17,1,4,66840.64,153625.45,1,1,0
10,4,5,42805.57,230413.75,0,1,0
7,4,5,176068.97,95499.46,0,0,0
17,1,4,31611.38,143180.67,1,1,0
4,1,3,65750.33,52774.07,0,0,0
16,4,6,82112.62,203070.24,0,0,0
15,1,2,30736.57,86768.43,0,1,0
14,2,6,122225.71,129394.81,0,0,0
6,2,4,95240.16,116556.83,0,0,0
14,2,5,56312.76,126629.53,0,1,0
9,1,2,43054.89,35694.43,0,0,0
10,1,5,53442.65,305283.93,0,1,0
4,1,2,22962.31,102910.11,0,1,0
17,1,4,38413.87,138572.76,0,0,0
5,1,3,75450.16,59091.87,0,0,0
0,2,4,48861.94,195511.65,0,1,0
8,2,4,148308.10,165306.52,0,0,0
5,1,6,97251.50,185518.76,0,1,0
12,1,3,32569.70,41072.26,0,1,0
13,2,5,113832.11,74202.97,0,0,0
5,1,3,41319.24,88479.66,0,1,0
0,2,7,85256.19,287001.45,0,1,0
15,1,2,33724.88,51426.06,0,1,0
1,4,5,106093.52,176263.14,0,0,0
3,2,4,94868.05,104163.01,0,0,0
16,1,2,47329.90,69701.12,0,0,0
15,1,4,90065.16,180394.12,0,0,0
12,1,2,45960.56,61733.59,0,0,0
14,1,2,38496.98,90165.82,0,0,0
2,1,2,22911.88,67754.52,0,1,0
4,1,2,14838.98,57284.99,0,1,0
9,3,5,32978.64,115037.92,0,1,0
17,4,6,49775.45,282821.29,1,1,0
7,1,3,39567.42,61634.74,0,1,0
15,4,6,111446.17,137591.12,0,0,0
7,1,2,20330.52,55253.16,0,1,0
6,1,3,27472.28,202440.87,0,1,0
3,1,2,35763.54,80302.91,0,0,0
17,4,7,197509.85,366774.08,1,0,0
16,2,4,89682.71,106850.19,1,0,0
15,1,2,37520.57,63371.13,0,0,0
1,1,3,52911.65,113422.88,0,0,0
1,2,5,91758.97,131097.57,0,0,0
14,1,3,146487.39,54343.61,0,0,0
2,1,6,115835.17,239705.20,0,0,0
15,1,3,84135.77,87743.36,0,0,0
1,2,5,111581.52,135937.08,0,0,0
15,3,5,127021.01,174822.76,0,0,0
7,1,3,70442.05,106029.71,0,0,0
15,1,3,45616.70,54819.37,0,1,0
12,3,6,64393.30,143683.40,0,1,0
5,5,7,110962.19,277278.47,0,1,0
16,4,8,136228.33,316605.84,1,0,0
6,3,5,144026.70,125149.35,0,0,0
6,1,2,61279.24,20275.98,0,0,0
17,1,3,57930.15,111141.31,0,0,0
13,2,4,85283.59,199465.51,0,0,0
5,2,3,71404.53,131240.72,0,0,0
7,3,5,36422.31,118157.45,0,1,0
14,1,4,60597.11,166033.49,0,1,0
6,4,6,145206.46,130493.66,0,0,0
17,2,5,100810.84,103565.70,1,0,0
6,2,4,87333.86,178663.76,0,0,0
9,1,4,110980.12,75401.71,0,0,0
10,1,3,36939.55,31611.93,0,1,0
2,1,3,71478.62,158149.04,0,0,0
7,1,4,45531.37,88892.98,0,1,0
12,1,2,51078.54,55287.70,0,0,0
3,1,3,82075.23,91217.84,0,0,0
16,1,4,84797.00,94553.79,1,0,0
6,1,5,85818.54,53845.22,0,0,0
13,1,2,72709.84,77309.06,0,0,0
2,1,2,30306.75,51573.22,0,1,0
11,6,8,74290.05,160427.22,0,1,0
7,2,4,78921.72,123240.16,0,0,0
13,1,5,114251.36,100681.02,0,0,0
16,1,4,115537.62,93556.69,1,0,0
0,1,2,22407.41,50239.87,0,1,0
3,1,3,93813.86,127276.44,0,0,0
9,2,7,79610.19,158870.88,0,1,0
10,3,5,33229.89,186930.06,0,1,0
10,1,5,76890.26,113397.07,0,1,0
10,2,5,151860.74,390001.22,0,0,0
12,1,4,78905.72,139458.71,0,0,0
11,2,5,92883.82,154112.42,0,0,0
8,1,4,37860.64,91810.50,0,1,0
10,4,5,83599.80,221649.89,0,1,0
15,2,4,59249.36,232652.82,0,1,0
16,1,4,105123.34,121748.81,1,0,0
6,1,3,47171.72,104014.10,0,1,0
3,1,5,107015.73,159540.20,0,0,0
12,1,4,74043.71,182944.59,0,0,0
16,5,7,117571.64,314358.41,1,1,0
11,3,5,74672.47,113116.63,0,1,0
0,1,3,41432.59,81362.94,0,1,0
11,1,3,32155.37,114549.66,0,1,0
15,2,7,94219.31,148880.38,0,1,0
9,2,4,76865.72,65694.72,0,0,0
1,1,2,33438.46,54491.10,0,1,0
10,1,4,44353.48,153227.52,0,1,0
2,1,4,54159.72,165892.06,0,1,0
7,1,3,57720.84,76421.78,0,0,0
15,1,8,274576.29,265424.40,0,0,0
14,2,4,59731.20,254352.55,0,1,0
8,2,5,73828.56,431637.13,0,1,0
13,1,4,86624.48,253813.30,0,0,0
13,1,3,80756.95,73373.91,0,0,0
5,5,6,126338.92,344435.47,0,0,0
17,1,4,163956.05,135880.26,0,0,0
5,1,2,20369.78,74988.35,0,1,0
11,4,6,83389.13,140669.30,0,1,0
1,1,3,74473.83,79817.60,0,0,0
6,1,4,77240.61,91831.08,0,0,0
9,1,3,45443.20,65421.11,0,1,0
14,1,4,126200.03,92026.63,0,0,0
15,1,5,95262.38,213543.81,0,0,0
1,1,3,46286.27,126885.14,0,1,0
1,1,3,60721.99,170354.37,0,0,0
6,1,3,69047.91,144263.62,0,0,0
8,1,2,43987.30,27130.96,0,0,0
17,3,4,44658.44,164782.07,1,1,0
9,1,4,35254.97,144370.92,0,1,0
17,1,3,70764.27,132089.27,1,0,0
7,3,4,46310.29,153190.87,0,1,0
13,4,6,124286.62,210194.08,0,0,0
13,1,3,53875.03,82876.64,0,0,0
5,1,3,26208.29,185656.49,0,1,0
7,3,5,113690.60,185640.92,0,0,0
9,5,6,125012.84,321738.22,0,0,0
6,1,2,20725.43,36633.40,0,1,0
3,1,2,15836.12,52563.43,0,1,0
16,1,2,35738.74,61394.47,0,0,0
17,1,3,26396.51,58619.93,1,1,0
11,1,3,105123.93,83356.71,0,0,0
13,1,2,29710.58,89470.99,0,1,0
12,3,8,212289.05,277874.64,0,0,0
7,1,2,39584.45,38097.73,0,0,0
14,3,7,139489.24,278080.78,0,0,0
1,2,4,100302.39,99074.51,0,0,0
4,1,2,51387.86,90662.19,0,0,0
6,1,2,28524.87,86790.70,0,1,0
17,1,5,60900.92,86363.46,1,1,0
14,1,2,28148.23,67248.54,0,1,0
16,2,4,56452.82,66235.39,0,0,0
0,1,3,60692.03,87428.40,0,0,0
2,2,7,77369.35,199602.43,0,1,0
10,1,3,39124.78,93163.48,0,1,0
9,3,6,93221.75,222635.72,0,1,0
14,1,6,92677.86,82177.59,0,1,0
6,2,4,48222.15,86673.51,0,1,0
7,1,3,55021.01,92869.18,0,0,0
17,1,2,50901.45,58782.30,0,0,0
17,9,10,111862.89,330373.19,1,1,0
12,1,6,130591.74,165889.00,0,0,0
10,1,5,115263.80,132289.98,0,0,0
12,1,2,33768.88,62308.22,0,1,0
6,3,5,60416.89,127769.07,0,1,0
1,1,5,89813.67,176249.47,0,0,0
12,1,3,96728.20,71309.75,0,0,0
2,1,3,72079.52,116151.28,0,0,0
6,1,2,47172.95,47839.41,0,0,0
0,1,3,44055.85,73241.85,0,1,0
9,1,5,76936.29,191629.90,0,1,0
11,1,4,69428.06,174786.44,0,0,0
